callsign|channel|city|state|licensee|lat|lon
KXTX-TV|36|DALLAS|TX|NBC TELEMUNDO LICENSE LLC|32.585278|-96.968611
KXVA|15|ABILENE|TX|LSB BROADCASTING, INC.|32.275444|-99.590167
KXVO|29|OMAHA|NE|KPTM LICENSEE, LLC|41.071083|-96.225639
KXXV|26|WACO|TX|SCRIPPS BROADCASTING HOLDINGS LLC|31.338056|-97.310278
KYAZ|25|KATY|TX|KYAZ-TV LLC|29.562556|-95.509972
KYIN|18|MASON CITY|IA|IOWA PUBLIC BROADCASTING BOARD|43.475556|-92.708333
KYLE-TV|29|BRYAN|TX|NEXSTAR MEDIA INC.|30.687833|-96.425667
KYMA-DT|13|YUMA|AZ|RINCON BROADCASTING YUMA LLC|33.055139|-114.828222
KYNE-TV|17|OMAHA|NE|NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION|41.308889|-96.026167
KYOU-TV|15|OTTUMWA|IA|GRAY TELEVISION LICENSEE, LLC|41.195000|-91.954444
KYTV|19|SPRINGFIELD|MO|GRAY TELEVISION LICENSEE, LLC|37.173889|-92.941139
KYTX|15|NACOGDOCHES|TX|LSB BROADCASTING, INC.|31.905833|-95.085000
KYUS-TV|3|MILES CITY|MT|MONTANA STATE UNIVERSITY|46.426111|-105.861111
KYVE|21|YAKIMA|WA|CASCADE PUBLIC MEDIA|46.532639|-120.510333
KYVV-TV|28|DEL RIO|TX|STRYKER MEDIA LLC|29.344444|-100.861111
KYW-TV|30|PHILADELPHIA|PA|CBS BROADCASTING INC.|40.042500|-75.242222
KZJL|21|HOUSTON|TX|ESTRELLA TELEVISION LICENSE OF HOUSTON LLC|29.562556|-95.509972
KZJO|36|SEATTLE|WA|FOX TELEVISION STATIONS, LLC|47.615639|-122.308444
KZSD-TV|8|MARTIN|SD|SOUTH DAKOTA BOARD OF DIRECTORS FOR EDUCATIONAL TELECOMMUNICATIONS|43.433056|-101.555000
KZTV|10|CORPUS CHRISTI|TX|SAGAMOREHILL OF CORPUS CHRISTI LICENSES, LLC|27.708056|-97.633333
NEW|4|VERNON|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|33.912306|-87.801722
WAAY-TV|17|HUNTSVILLE|AL|ALABAMA TV LICENSE COMPANY, LLC|34.736889|-86.533028
WABC-TV|7|NEW YORK|NY|WABC TELEVISION (NEW YORK), LLC|40.748333|-73.985833
WABG-TV|32|GREENWOOD|MS|DELTAVISION MEDIA GREENWOOD, LLC|33.373056|-90.540278
WABM|20|BIRMINGHAM|AL|BIRMINGHAM (WABM-TV) LICENSEE, INC.|33.484667|-86.807000
WABW-TV|6|PELHAM|GA|GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION|31.135750|-84.104361
WACH|22|COLUMBIA|SC|WACH LICENSEE, LLC|34.116222|-80.763861
WACP|4|ATLANTIC CITY|NJ|FAITH BROADCASTING NETWORK, INC.|39.734444|-74.840833
WACS-TV|7|DAWSON|GA|GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION|31.936778|-84.553556
WACX|7|LEESBURG|FL|SUPERCHANNEL WORSHIP MINISTRIES, INC.|28.586833|-81.082639
WACY-TV|36|APPLETON|WI|SCRIPPS BROADCASTING HOLDINGS LLC|44.358333|-87.980111
WADL|27|MOUNT CLEMENS|MI|ADELL BROADCASTING CORPORATION|42.554167|-82.887500
WAFB|9|BATON ROUGE|LA|GRAY TELEVISION LICENSEE, LLC|30.366389|-91.213056
WAFF|15|HUNTSVILLE|AL|GRAY TELEVISION LICENSEE, LLC|34.710917|-86.535278
WAGA-TV|27|ATLANTA|GA|NEW WORLD COMMUNICATIONS OF ATLANTA, INC.|33.797611|-84.333806
WAGV|14|HARLAN|KY|LIVING FAITH MINISTRIES, INC.|36.829806|-82.079000
WAIQ|27|MONTGOMERY|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|32.381944|-86.292500
WAKA|25|SELMA|AL|ALABAMA BROADCASTING PARTNERS|32.149417|-86.778500
WALA-TV|9|MOBILE|AL|GRAY TELEVISION LICENSEE, LLC|30.688056|-87.798333
WALB|10|ALBANY|GA|GRAY TELEVISION LICENSEE, LLC|31.331389|-83.861944
WAMI-DT|24|HOLLYWOOD|FL|UNIMAS MIAMI LLC|25.986111|-80.193417
WAND|20|DECATUR|IL|WAND TV, INC.|39.952389|-88.832389
WANE-TV|32|FORT WAYNE|IN|NEXSTAR MEDIA INC.|41.093889|-85.180000
WANF|19|ATLANTA|GA|GRAY TELEVISION LICENSEE, LLC|33.807333|-84.339306
WAOW|9|WAUSAU|WI|WAUSAU TV LICENSE COMPANY, LLC|44.920611|-89.691306
WAPT|21|JACKSON|MS|JACKSON HEARST TELEVISION INC.|32.278333|-90.294444
WAQP|36|SAGINAW|MI|RADIANT LIFE MINISTRIES, INC.|43.221667|-84.053889
WATC-DT|34|ATLANTA|GA|COMMUNITY TELEVISION, INC.|34.066472|-84.454639
WATE-TV|26|KNOXVILLE|TN|NEXSTAR MEDIA INC.|36.003556|-83.942778
WATL|25|ATLANTA|GA|PACIFIC AND SOUTHERN, LLC|33.807333|-84.339306
WATM-TV|31|ALTOONA|PA|PALM TELEVISION, L.P.|40.568333|-78.443611
WATN-TV|25|MEMPHIS|TN|TEGNA MEMPHIS BROADCASTING, INC.|35.275833|-89.777222
WAVE|36|LOUISVILLE|KY|GRAY TELEVISION LICENSEE, LLC|38.369000|-85.829889
WAVY-TV|19|PORTSMOUTH|VA|NEXSTAR MEDIA INC.|36.820833|-76.511111
WAWD|25|FORT WALTON BEACH|FL|BEACH TV PROPERTIES, INC.|30.454111|-86.866472
WAWV-TV|18|TERRE HAUTE|IN|MISSION BROADCASTING, INC.|39.242500|-87.391389
WAXN-TV|32|KANNAPOLIS|NC|WSOC TELEVISION, LLC|35.261417|-80.726806
WBAL-TV|12|BALTIMORE|MD|WBAL HEARST TELEVISION INC.|39.334722|-76.650556
WBAY-TV|23|GREEN BAY|WI|GRAY TELEVISION LICENSEE, LLC|44.409611|-88.001861
WBBH-TV|15|FORT MYERS|FL|FORT MYERS-NAPLES HTV LLC|26.822889|-81.764889
WBBJ-TV|35|JACKSON|TN|GRAY TELEVISION LICENSEE, LLC|35.637778|-88.692500
WBBM-TV|12|CHICAGO|IL|CBS BROADCASTING INC.|41.878889|-87.635556
WBBZ-TV|7|SPRINGVILLE|NY|ITV OF BUFFALO, LLC|42.567861|-78.722972
WBDT|31|SPRINGFIELD|OH|WBDT TELEVISION, LLC|39.718611|-84.256111
WBEC-TV|25|BOCA RATON|FL|THE SCHOOL BOARD OF BROWARD COUNTY, FLORIDA|25.986111|-80.193417
WBFF|26|BALTIMORE|MD|CHESAPEAKE TELEVISION LICENSEE, LLC|39.336222|-76.649417
WBFS-TV|32|MIAMI|FL|MIAMI TELEVISION STATION WBFS INC.|25.968889|-80.221944
WBGU-TV|22|BOWLING GREEN|OH|BOWLING GREEN STATE UNIVERSITY|41.136667|-83.906667
WBIF|26|MARIANNA|FL|WORD OF GOD FELLOWSHIP, INC.|30.433333|-85.414167
WBIH|34|SELMA|AL|RADIANT LIFE MINISTRIES, INC.|32.540750|-86.842417
WBIQ|10|BIRMINGHAM|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|33.484667|-86.807000
WBIR-TV|10|KNOXVILLE|TN|WBIR-TV, LLC|36.005278|-83.939722
WBKB-TV|11|ALPENA|MI|QUEEN BEE'S KNEES LLC|44.702917|-83.524028
WBKI|16|SALEM|IN|INDEPENDENCE TELEVISION COMPANY|38.350278|-85.849167
WBKO|13|BOWLING GREEN|KY|GRAY TELEVISION LICENSEE, LLC|37.063667|-86.435194
WBKP|5|CALUMET|MI|QUEEN BEE'S KNEES LLC|47.036389|-88.695278
WBMM|18|TUSKEGEE|AL|ALABAMA BROADCASTING PARTNERS|32.068194|-85.944667
WBNA|8|LOUISVILLE|KY|WORD BROADCASTING NETWORK, INC.|38.033056|-85.754722
